city_name,$ Price >0 reviews
"Healdsburg, CA",225.0
"Malibu, CA",225.0
"Incline Village, NV",200.0
"Truckee, NV",200.0
"Laguna Beach, CA",200.0
"Hermosa Beach, CA",199.0
"Napa, CA",184.5
"Park City, UT",179.0
"Sunny Isles Beach, FL",177.5
"Sonoma, CA",175.0
"New York, NY",165.0
"Manhattan Beach, CA",162.0
"La Jolla, CA",157.5
"Newport Beach, CA",150.0
"San Francisco, CA",150.0
"Beverly Hills, CA",150.0
"Venice, CA",150.0
"Sausalito, CA",150.0
"Boston, MA",150.0
"Austin, TX",150.0
"Marina del Rey, CA",149.0
"Mill Valley, CA",148.0
"Miami Beach, FL",130.0
"Santa Monica, CA",130.0
"Taos, NM",129.0
"Cambridge, MA",125.0
"New Orleans, LA",125.0
"Santa Cruz, CA",125.0
"West Hollywood, CA",125.0
"San Rafael, CA",120.0
"Las Vegas, NV",120.0
"Washington, DC",120.0
"Miami, FL",120.0
"Carlsbad, CA",120.0
"Palo Alto, CA",117.0
"Charleston, SC",115.0
"Scottsdale, AZ",114.5
"Davenport, FL",112.5
"Brooklyn, NY",110.0
"San Diego, CA",110.0
"Los Angeles, CA",108.0
"Mountain View, CA",105.0
"Louisville, KY",104.5
"Charlotte, NC",100.0
"Chicago, IL",100.0
"Fort Lauderdale, FL",100.0
"Sebastopol, CA",100.0
"Brookline, MA",100.0
"Berkeley, CA",100.0
"Indianapolis, IN",100.0
"Naples, FL",100.0
"Savannah, GA",99.5
"Santa Rosa, CA",99.5
"Long Beach, CA",99.0
"Hollywood, FL",99.0
"Honolulu, HI",98.0
"Pasadena, CA",97.5
"Philadelphia, PA",95.0
"Seattle, WA",95.0
"Somerville, MA",95.0
"Boulder, CO",94.0
"Alexandria, VA",92.0
"Long Island City, NY",91.5
"Houston, TX",91.0
"Kissimmee, FL",90.0
"Queens, NY",90.0
"Anchorage, AK",90.0
"Ann Arbor, MI",90.0
"Arlington, VA",90.0
"Glendale, CA",89.0
"Oakland, CA",88.0
"Dallas, TX",86.0
"San Jose, CA",85.0
"Jersey City, NJ",85.0
"Providence, RI",84.0
"Atlanta, GA",83.0
"Madison, WI",80.0
"Minneapolis, MN",80.0
"Paris, RI",80.0
"Nashville, TN",80.0
"New Haven, CT",80.0
"San Antonio, TX",80.0
"Salt Lake City, UT",80.0
"Pittsburgh, PA",80.0
"Colorado Springs, CO",79.5
"Tucson, AZ",76.0
"Denver, CO",76.0
"Eugene, OR",75.0
"Portland, OR",75.0
"Silver Spring, MD",75.0
"Phoenix, AZ",75.0
"Tampa, FL",75.0
"Cincinnati, OH",69.5
"Baltimore, MD",69.0
"Albuquerque, NM",65.0
"Orlando, FL",65.0
"Bronx, NY",64.5
"Durham, NC",60.0
"Raleigh, NC",60.0
"Sacramento, CA",55.0
